Date,Open,High,Low,Close,Adj Close,Volume,Ticker
10/22/19,241.1600037,242.1999969,239.6199951,239.9600067,238.675293,20573400,AAPL
10/23/19,242.1000061,243.2400055,241.2200012,243.1799927,241.8780365,18957200,AAPL
10/24/19,244.5099945,244.8000031,241.8099976,243.5800018,242.2758942,17318800,AAPL
10/25/19,243.1600037,246.7299957,242.8800049,246.5800018,245.2598419,18369300,AAPL
10/28/19,247.4199982,249.25,246.7200012,249.0500031,247.7166138,24143200,AAPL
10/29/19,248.9700012,249.75,242.5700073,243.2899933,241.987442,35709900,AAPL
10/30/19,244.7599945,245.3000031,241.2100067,243.2599945,241.9576111,31130500,AAPL
10/31/19,247.2400055,249.1699982,237.2599945,248.7599945,247.4281616,34790500,AAPL
11/1/19,249.5399933,255.9299927,249.1600037,255.8200073,254.4503784,37781300,AAPL
11/4/19,257.3299866,257.8500061,255.3800049,257.5,256.1213684,25818000,AAPL
11/5/19,257.0499878,258.1900024,256.3200073,257.1300049,255.7533722,19974400,AAPL
11/6/19,256.769989,257.4899902,255.3699951,257.2399902,255.8627625,18966100,AAPL
11/7/19,258.7399902,260.3500061,258.1099854,259.4299927,258.8157349,23735100,AAPL
11/8/19,258.6900024,260.4400024,256.8500061,260.1400146,259.5240784,17496600,AAPL
11/11/19,258.2999878,262.4700012,258.2799988,262.2000122,261.5791931,20455300,AAPL
11/12/19,261.5499878,262.7900085,260.9200134,261.9599915,261.3397522,21847200,AAPL
11/13/19,261.1300049,264.7799988,261.0700073,264.4700012,263.843811,25683600,AAPL
11/14/19,263.75,264.8800049,262.1000061,262.6400146,262.018158,22295700,AAPL
11/15/19,263.6799927,265.7799988,263.0100098,265.7600098,265.1307678,25051600,AAPL
11/18/19,265.7999878,267.4299927,264.230011,267.1000061,266.4675903,21675800,AAPL
11/19/19,267.8999939,268,265.3900146,266.2900085,265.6595154,19041800,AAPL
11/20/19,265.5400085,266.0799866,260.3999939,263.1900024,262.566864,26558600,AAPL
